CODE,treeName,smithName,splicedTreeName,Scientific.Name,Family,Family.simplified,less.than.four,phylo.spp
PENDIG,Penstemon_digitalis,Penstemon_digitalis,Penstemon_digitalis,Penstemon digitalis,Plantaginaceae,Other,NA,penstemon digitalis
PENHIR,Penstemon_hirsutus,Penstemon_hirsutus,Penstemon_hirsutus,Penstemon hirsutus,Plantaginaceae,Other,NA,penstemon hirsutus
PHLPIL,Phlox_pilosa,Phlox_pilosa_subsp._pilosa,Phlox_pilosa_subsp._pilosa,Phlox pilosa,Polemoniaceae,Other,NA,phlox pilosa
PHYVIR,Physostegia_virginiana,Physostegia_virginiana_subsp._virginiana,Physostegia_virginiana_subsp._virginiana,Physostegia virginiana,Lamiaceae,Lamiaceae,NA,physostegia virginiana
POLBIC,Polygonatum_biflorum,Polygonatum_biflorum,Polygonatum_biflorum,Polygonatum biflorum,Asparagaceae,Other,NA,polygonatum biflorum
POLREP,Polemonium_reptans,Polemonium_reptans,Polemonium_reptans,Polemonium reptans,Polemoniaceae,Other,NA,polemonium reptans
POTARU,Potentilla_arguta,Drymocallis_arguta,Drymocallis_arguta,Potentilla arguta,Rosaceae,Rosaceae,NA,potentilla arguta
PYCPIL,Pycnanthemum_pilosum,Pycnanthemum_pilosum,Pycnanthemum_pilosum,Pycnanthemum pilosum,Lamiaceae,Lamiaceae,NA,pycnanthemum pilosum
PYCTEN,Pycnanthemum_tenuifolium,Pycnanthemum_tenuifolium,Pycnanthemum_tenuifolium,Pycnanthemum tenuifolium,Lamiaceae,Lamiaceae,NA,pycnanthemum tenuifolium
PYCVER,Pycnanthemum_verticillatum,Pycnanthemum_verticillatum,Pycnanthemum_verticillatum,Pycnanthemum verticillatum,Lamiaceae,Lamiaceae,NA,pycnanthemum verticillatum
PYCVIR,Pycnanthemum_virginianum,Pycnanthemum_virginianum,Pycnanthemum_virginianum,Pycnanthemum virginianum,Lamiaceae,Lamiaceae,NA,pycnanthemum virginianum
RATPIN,Ratibida_pinnata,Ratibida_pinnata,Ratibida_pinnata,Ratibida pinnata,Asteraceae,Asteraceae,NA,ratibida pinnata
ROSBLA,Rosa_blanda,Rosa_blanda,Rosa_blanda,Rosa blanda,Rosaceae,Rosaceae,NA,rosa blanda
ROSCAR,Rosa_carolina,Rosa_carolina,Rosa_carolina,Rosa carolina,Rosaceae,Rosaceae,NA,rosa carolina
ROSSET,Rosa_setigera,Rosa_setigera,Rosa_setigera,Rosa setigera,Rosaceae,Rosaceae,NA,rosa setigera
RUDFUL,Rudbeckia_fulgida,Rudbeckia_fulgida_var._fulgida,Rudbeckia_fulgida_var._fulgida,Rudbeckia fulgida,Asteraceae,Asteraceae,NA,rudbeckia fulgida
RUDHIR,Rudbeckia_hirta,Rudbeckia_hirta_var._pulcherrima,Rudbeckia_hirta_var._pulcherrima,Rudbeckia hirta,Asteraceae,Asteraceae,NA,rudbeckia hirta
RUDSUB,Rudbeckia_subtomentosa,Rudbeckia_subtomentosa,Rudbeckia_subtomentosa,Rudbeckia subtomentosa,Asteraceae,Asteraceae,NA,rudbeckia subtomentosa
RUDTRI,Rudbeckia_triloba,Rudbeckia_triloba,Rudbeckia_triloba,Rudbeckia triloba,Asteraceae,Asteraceae,NA,rudbeckia triloba
RUEHUM,Ruellia_humilis,Ruellia_humilis,Ruellia_humilis,Ruellia humilis,Acanthaceae,Other,NA,ruellia humilis
SCHSCO,Schizachyrium_scoparium,Schizachyrium_scoparium,Schizachyrium_scoparium,Schizachyrium scoparium,Poaceae,Poaceae,NA,schizachyrium scoparium
SENHEB,Senna_hebecarpa,Senna_hebecarpa,Senna_hebecarpa,Senna hebecarpa,Fabaceae,Fabaceae,NA,senna hebecarpa
SENMAR,Senna_marilandica,Senna_marilandica,Senna_marilandica,Senna marilandica,Fabaceae,Fabaceae,NA,senna marilandica
SILINT,Silphium_integrifolium,Silphium_integrifolium,Silphium_integrifolium,Silphium integrifolium,Asteraceae,Asteraceae,NA,silphium integrifolium
SILLAC,Silphium_laciniatum,Silphium_laciniatum,Silphium_laciniatum,Silphium laciniatum,Asteraceae,Asteraceae,NA,silphium laciniatum
SILTER,Silphium_terebinthinaceum,Silphium_terebinthinaceum,Silphium_terebinthinaceum,Silphium terebinthinaceum,Asteraceae,Asteraceae,NA,silphium terebinthinaceum
SISANG,Sisyrinchium_angustifolium,Sisyrinchium_angustifolium,Sisyrinchium_angustifolium,Sisyrinchium angustifolium,Iridaceae,Other,NA,sisyrinchium angustifolium
SOLJUN,Solidago_juncea,Solidago_juncea,Solidago_juncea,Solidago juncea,Asteraceae,Asteraceae,NA,solidago juncea
SOLNEM,Solidago_nemoralis,Solidago_nemoralis,Solidago_nemoralis,Solidago nemoralis,Asteraceae,Asteraceae,NA,solidago nemoralis
SOLSPE,Solidago_speciosa,Solidago_speciosa,Solidago_speciosa,Solidago speciosa,Asteraceae,Asteraceae,NA,solidago speciosa
SORNUT,Sorghastrum_nutans,Sorghastrum_nutans,Sorghastrum_nutans,Sorghastrum nutans,Poaceae,Poaceae,NA,sorghastrum nutans
SPIALB,Spiraea_alba,Spiraea_alba_var._latifolia,Spiraea_alba_var._latifolia,Spiraea alba,Rosaceae,Rosaceae,NA,spiraea alba
SPOHET,Sporobolus_heterolepis,Sporobolus_heterolepis,Sporobolus_heterolepis,Sporobolus heterolepis,Poaceae,Poaceae,NA,sporobolus heterolepis
SYMERI,Symphyotrichum_ericoides,Symphyotrichum_ericoides,Symphyotrichum_ericoides,Symphyotrichum ericoides,Asteraceae,Asteraceae,NA,symphyotrichum ericoides
SYMLAE,Symphyotrichum_laeve,Symphyotrichum_laeve,Symphyotrichum_laeve,Symphyotrichum laeve,Asteraceae,Asteraceae,NA,symphyotrichum laeve
SYMNOV,Symphyotrichum_novae.angliae,Symphyotrichum_novae-angliae,Symphyotrichum_novae-angliae,Symphyotrichum novae-angliae,Asteraceae,Asteraceae,NA,symphyotrichum novae-angliae
SYMOBL,Symphyotrichum_oblongifolium,Symphyotrichum_oblongifolium,Symphyotrichum_oblongifolium,Symphyotrichum oblongifolium,Asteraceae,Asteraceae,NA,symphyotrichum oblongifolium
SYMOOL,Symphyotrichum_oolentangiense,** MISSING **,Symphyotrichum_oolentangiense,Symphyotrichum oolentangiense,Asteraceae,Asteraceae,NA,symphyotrichum oolentangiense
SYMSER,Symphyotrichum_sericeum,Symphyotrichum_sericeum,Symphyotrichum_sericeum,Symphyotrichum sericeum,Asteraceae,Asteraceae,NA,symphyotrichum sericeum
TEUCAN,Teucrium_canadense,Teucrium_canadense,Teucrium_canadense,Teucrium canadense,Lamiaceae,Lamiaceae,NA,teucrium canadense
THADAS,Thalictrum_dasycarpum,Thalictrum_dasycarpum,Thalictrum_dasycarpum,Thalictrum dasycarpum,Ranunculaceae,Ranunculaceae,NA,thalictrum dasycarpum
TRAOHI,Tradescantia_ohiensis,Tradescantia_ohiensis,Tradescantia_ohiensis,Tradescantia ohiensis,Commelinaceae,Other,NA,tradescantia ohiensis
VERALT,Vernonia_altissima,Vernonia_altissima,Vernonia_altissima,Vernonia altissima,Asteraceae,Asteraceae,NA,vernonia altissima
VERFAS,Vernonia_fasciculata,Vernonia_fasciculata,Vernonia_fasciculata,Vernonia fasciculata,Asteraceae,Asteraceae,NA,vernonia fasciculata
VERGIG,Vernonia_gigantea,Vernonia_gigantea,Vernonia_gigantea,Vernonia gigantea,Asteraceae,Asteraceae,NA,vernonia gigantea
VERMIS,Vernonia_missurica,Vernonia_missurica,Vernonia_missurica,Vernonia missurica,Asteraceae,Asteraceae,NA,vernonia missurica
VERSTR,Verbena_stricta,Verbena_stricta,Verbena_stricta,Verbena stricta,Verbenaceae,Other,NA,verbena stricta
VERVIR,Veronicastrum_virginicum,Veronicastrum_virginicum,Veronicastrum_virginicum,Veronicastrum virginicum,Scrophulariaceae,Other,NA,veronicastrum virginicum
VIOPDF,Viola_pedatifida,Viola_pedatifida,Viola_pedatifida,Viola pedatifida,Violaceae,Other,NA,viola pedatifida
ZIZAPT,Zizia_aptera,Zizia_aptera,Zizia_aptera,Zizia aptera,Apiaceae,Apiaceae,NA,zizia aptera
ZIZAUR,Zizia_aurea,Zizia_aurea,Zizia_aurea,Zizia aurea,Apiaceae,Apiaceae,NA,zizia aurea
