"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplId","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"110","Spiraea alba","Spiraea alba",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,110,1,"wfo-0000985576","","1282","Spiraea alba","SPECIES","wfo-4000036101","Du Roi","Rosaceae","","","","Spiraea","","alba","","","","Die Harbkesche wilde Baumzucht ; 1771 430 1772","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-1282 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/rjp-1282 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/rjp-1282","rjp","A","http://www.theplantlist.org/tpl1.1/record/rjp-1282","",FALSE,"","","","Accepted"
"111","Sporobolus heterolepis","Sporobolus heterolepis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,111,1,"wfo-0000901178","urn:lsid:ipni.org:names:1026241-2","444230","Sporobolus heterolepis","SPECIES","wfo-4000036182","(A.Gray) A.Gray","Poaceae","","","","Sporobolus","","heterolepis","","","","Manual : 576 (1848)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-444230 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-444230 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-444230","wcs","A","http://www.theplantlist.org/tpl1.1/record/kew-444230","",FALSE,"","","",""
"112","Symphyotrichum ericoides","Symphyotrichum ericoides",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,112,1,"wfo-0000065053","urn:lsid:ipni.org:names:981811-1","GCC-DC9D8E69-A41F-4858-B499-28A90966345E","Symphyotrichum ericoides","SPECIES","wfo-4000037221","(L.) G.L.Nesom","Asteraceae","","","","Symphyotrichum","","ericoides","","","","Phytologia 77(3): 280 (1995)","ACCEPTED","","wfo-0000031058","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-21986 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-21986 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-21986","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-21986","",FALSE,"","","",""
"113","Symphyotrichum laeve","Symphyotrichum laeve",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,113,1,"wfo-0000034482","urn:lsid:ipni.org:names:247114-2","GCC-A97860C0-ABA7-4B9E-AEAB-E5499C6A85C1","Symphyotrichum laeve","SPECIES","wfo-4000037221","(L.) Á.Löve & D.Löve","Asteraceae","","","","Symphyotrichum","","laeve","","","","Taxon 31: 359 (1982)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-133338 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-133338 >The Plant List v.1.0</a>","https://wcvp.science.kew.org/taxon/247114-2","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-133338","",FALSE,"","","","smallest ID"
"114","Symphyotrichum novae.angliae","Symphyotrichum novae.angliae",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,114,1,"wfo-0000115996","urn:lsid:ipni.org:names:981863-1","GCC-BFC967B5-5C07-4F49-A561-66D9BF32C1EB","Symphyotrichum novae-angliae","SPECIES","wfo-4000037221","(L.) G.L.Nesom","Asteraceae","","","","Symphyotrichum","","novae-angliae","","","","Phytologia 77(3): 287 (1995)","ACCEPTED","","wfo-0000047975","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-77418 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-77418 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-77418","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-77418","",FALSE,"","","",""
"115","Symphyotrichum oolentangiense","Symphyotrichum oolentangiense",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,115,1,"wfo-0000137818","urn:lsid:ipni.org:names:1176026-2","GCC-466A57ED-C5BD-470E-B3F4-9640EA2C98D1","Symphyotrichum oolentangiense","SPECIES","wfo-4000037221","(Riddell) G.L.Nesom","Asteraceae","","","","Symphyotrichum","","oolentangiense","","","","Phytologia 77: 288. 1995 [31 Jan 1995]","ACCEPTED","","wfo-0000119885","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-98486 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-98486 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-98486","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-98486","",FALSE,"","","",""
"116","Symphyotrichum sericeum","Symphyotrichum sericeum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,116,1,"wfo-0000130674","urn:lsid:ipni.org:names:981898-1","GCC-780F989C-40A2-4E2E-A09D-86A79CDA0CAD","Symphyotrichum sericeum","SPECIES","wfo-4000037221","(Vent.) G.L.Nesom","Asteraceae","","","","Symphyotrichum","","sericeum","","","","Phytologia 77(3): 291 (1995)","ACCEPTED","","wfo-0000043430","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-91566 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-91566 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/gcc-91566","gcc","A","http://www.theplantlist.org/tpl1.1/record/gcc-91566","",FALSE,"","","",""
"117","Teucrium canadense","Teucrium canadense",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,117,1,"wfo-0000321931","urn:lsid:ipni.org:names:30057247-2","202732","Teucrium canadense","SPECIES","wfo-4000038030","L.","Lamiaceae","","","","Teucrium","","canadense","","","","Sp. Pl. : 564 (1753)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-202732 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-202732 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-202732","wcs","A","http://www.theplantlist.org/tpl1.1/record/kew-202732","",FALSE,"","","",""
"118","Thalictrum dasycarpum","Thalictrum dasycarpum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,118,1,"wfo-0000453968","urn:lsid:ipni.org:names:714364-1","648806","Thalictrum dasycarpum","SPECIES","wfo-4000038055","Fisch., C.A.Mey. & Avé-Lall.","Ranunculaceae","","","","Thalictrum","","dasycarpum","","","","Index Seminum (LE, Petropolitanus) 8: 72 (1842)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2512534 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2512534 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-2512534","cmp","A","http://www.theplantlist.org/tpl1.1/record/kew-2512534","",FALSE,"","","",""
"119","Tradescantia ohiensis","Tradescantia ohiensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,119,1,"wfo-0000589305","urn:lsid:ipni.org:names:173408-1","270385","Tradescantia ohiensis","SPECIES","wfo-4000038758","Raf.","Commelinaceae","","","","Tradescantia","","ohiensis","","","","Précis Découv. Somiol. : 45 (1814)","ACCEPTED","","","","More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-270385 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-270385 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-270385","wcs","A","http://www.theplantlist.org/tpl1.1/record/kew-270385","",FALSE,"","","",""
