"","CODE","treeName","smithName","splicedTreeName","Scientific.Name","Family","Family.simplified","less.than.four","phylo.spp","accepted","author"
"49","EUPALT","Eupatorium_altissimum","Eupatorium_altissimum","Eupatorium_altissimum","Eupatorium altissimum","Asteraceae","Asteraceae",NA,"eupatorium altissimum","Eupatorium altissimum","L."
"50","EUPCOR","Euphorbia_corollata","Euphorbia_corollata","Euphorbia_corollata","Euphorbia corollata","Euphorbiaceae","Other",NA,"euphorbia corollata","Euphorbia corollata","L."
"51","EUTGRA","Euthamia_graminifolia","Euthamia_graminifolia","Euthamia_graminifolia","Euthamia graminifolia","Asteraceae","Asteraceae",NA,"euthamia graminifolia","Euthamia graminifolia","(L.) Nutt."
"52","GENAND","Gentiana_andrewsii","Gentiana_andrewsii","Gentiana_andrewsii","Gentiana andrewsii","Gentianaceae","Other",NA,"gentiana andrewsii","Gentiana andrewsii","Griseb."
"53","HELAUT","Helenium_autumnale","Helenium_autumnale","Helenium_autumnale","Helenium autumnale","Asteraceae","Asteraceae",NA,"helenium autumnale","Helenium autumnale","L."
"54","HELHEL","Heliopsis_helianthoides","Heliopsis_helianthoides_var._occidentalis","Heliopsis_helianthoides_var._occidentalis","Heliopsis helianthoides","Asteraceae","Asteraceae",NA,"heliopsis helianthoides","Heliopsis helianthoides","Sweet"
"55","HELMOL","Helianthus_mollis","Helianthus_mollis","Helianthus_mollis","Helianthus mollis","Asteraceae","Asteraceae",NA,"helianthus mollis","Helianthus mollis","Lam."
"56","HELOCC","Helianthus_occidentalis","Helianthus_occidentalis","Helianthus_occidentalis","Helianthus occidentalis","Asteraceae","Asteraceae",NA,"helianthus occidentalis","Helianthus occidentalis","Riddell"
"57","HELPAU","Helianthus_pauciflorus","Helianthus_pauciflorus_subsp._pauciflorus","Helianthus_pauciflorus_subsp._pauciflorus","Helianthus pauciflorus","Asteraceae","Asteraceae",NA,"helianthus pauciflorus","Helianthus pauciflorus","Nutt."
"58","HELSTR","Helianthus_strumosus","Helianthus_strumosus","Helianthus_strumosus","Helianthus strumosus","Asteraceae","Asteraceae",NA,"helianthus strumosus","Helianthus strumosus","L."
"59","HEURIC","Heuchera_richardsonii","Heuchera_richardsonii","Heuchera_richardsonii","Heuchera richardsonii","Saxifragaceae","Other",NA,"heuchera richardsonii","Heuchera richardsonii","R.Br."
"60","HIEODO","Hierochloe_odorata","Hierochloe_borealis","Hierochloe_borealis","Hierochloe odorata","Poaceae","Poaceae",NA,"hierochloe odorata","Hierochloe odorata","(L.) P.Beauv."
"61","HYPPUN","Hypericum_punctatum","Hypericum_punctatum","Hypericum_punctatum","Hypericum punctatum","Hypericaceae","Hypericaceae",NA,"hypericum punctatum","Hypericum punctatum","Lam."
"62","HYPPYR","Hypericum_pyramidatum","Hypericum_ascyron_subsp._pyramidatum","Hypericum_ascyron_subsp._pyramidatum","Hypericum pyramidatum","Hypericaceae","Hypericaceae",NA,"hypericum pyramidatum","Hypericum ascyron subsp. pyramidatum","(Aiton) N.Robson"
"63","JUNDUD","Juncus_dudleyi","Juncus_dudleyi","Juncus_dudleyi","Juncus dudleyi","Juncaceae","Juncaceae",NA,"juncus dudleyi","Juncus dudleyi","Wiegand"
"64","JUNINT","Juncus_interior","Juncus_interior","Juncus_interior","Juncus interior","Juncaceae","Juncaceae",NA,"juncus interior","Juncus interior","Wiegand"
"65","JUNTEN","Juncus_tenuis","Juncus_tenuis","Juncus_tenuis","Juncus tenuis","Juncaceae","Juncaceae",NA,"juncus tenuis","Juncus tenuis","Willd."
"66","KOEMAC","Koeleria_pyramidata","Koeleria_pyramidata","Koeleria_pyramidata","Koeleria macrantha","Poaceae","Poaceae",NA,"koeleria macrantha","Koeleria pyramidata","P.Beauv."
"67","LESCAP","Lespedeza_capitata","Lespedeza_capitata","Lespedeza_capitata","Lespedeza capitata","Fabaceae","Fabaceae",NA,"lespedeza capitata","Lespedeza capitata","Michx."
"68","LIAASP","Liatris_aspera","Liatris_aspera","Liatris_aspera","Liatris aspera","Asteraceae","Asteraceae",NA,"liatris aspera","Liatris aspera","Michx."
"69","LIAPYC","Liatris_pycnostachya","Liatris_pycnostachya","Liatris_pycnostachya","Liatris pycnostachya","Asteraceae","Asteraceae",NA,"liatris pycnostachya","Liatris pycnostachya","Michx."
"70","LIASCN","Liatris_scariosa","Liatris_scariosa","Liatris_scariosa","Liatris scariosa","Asteraceae","Asteraceae",NA,"liatris scariosa","Liatris scariosa","(L.) Willd."
"71","LIASPI","Liatris_spicata","Liatris_spicata","Liatris_spicata","Liatris spicata","Asteraceae","Asteraceae",NA,"liatris spicata","Liatris spicata","(L.) Willd."
"72","LILMIC","Lilium_michiganense","Lilium_michiganense","Lilium_michiganense","Lilium michiganense","Liliaceae","Other",NA,"lilium michiganense","Lilium michiganense","Farw."
"73","MAIRAC","Maianthemum_racemosum","Maianthemum_racemosum","Maianthemum_racemosum","Maianthemum racemosum","Asparagaceae","Other",NA,"maianthemum racemosum","Maianthemum racemosum","(L.) Link"
"74","MONBRA","Monarda_bradburiana","Monarda_bradburiana","Monarda_bradburiana","Monarda bradburiana","Lamiaceae","Lamiaceae",NA,"monarda bradburiana","Monarda bradburiana","Beck"
"75","MONFIS","Monarda_fistulosa","Monarda_fistulosa","Monarda_fistulosa","Monarda fistulosa","Lamiaceae","Lamiaceae",NA,"monarda fistulosa","Monarda fistulosa","L."
"76","OENPIL","Oenothera_pilosella","Oenothera_pilosella","Oenothera_pilosella","Oenothera pilosella","Onagraceae","Other",NA,"oenothera pilosella","Oenothera pilosella","Raf."
"77","OLIRIG","Solidago_rigida","Solidago_rigida","Solidago_rigida","Oligoneuron rigidum","Asteraceae","Asteraceae",NA,"oligoneuron rigidum","Solidago rigida","L."
"78","PANVIR","Panicum_virgatum","Panicum_virgatum","Panicum_virgatum","Panicum virgatum","Poaceae","Poaceae",NA,"panicum virgatum","Panicum virgatum","L."
"79","PARINT","Parthenium_integrifolium","Parthenium_integrifolium","Parthenium_integrifolium","Parthenium integrifolium","Asteraceae","Asteraceae",NA,"parthenium integrifolium","Parthenium integrifolium","L."
"80","PENDIG","Penstemon_digitalis","Penstemon_digitalis","Penstemon_digitalis","Penstemon digitalis","Plantaginaceae","Other",NA,"penstemon digitalis","Penstemon digitalis","Nutt. ex Sims"
"81","PENHIR","Penstemon_hirsutus","Penstemon_hirsutus","Penstemon_hirsutus","Penstemon hirsutus","Plantaginaceae","Other",NA,"penstemon hirsutus","Penstemon hirsutus","(L.) Willd."
"82","PHLPIL","Phlox_pilosa","Phlox_pilosa_subsp._pilosa","Phlox_pilosa_subsp._pilosa","Phlox pilosa","Polemoniaceae","Other",NA,"phlox pilosa","Phlox pilosa","L."
"83","PHYVIR","Physostegia_virginiana","Physostegia_virginiana_subsp._virginiana","Physostegia_virginiana_subsp._virginiana","Physostegia virginiana","Lamiaceae","Lamiaceae",NA,"physostegia virginiana","Physostegia virginiana","Benth."
"84","POLBIC","Polygonatum_biflorum","Polygonatum_biflorum","Polygonatum_biflorum","Polygonatum biflorum","Asparagaceae","Other",NA,"polygonatum biflorum","Polygonatum biflorum","(Walter) Elliott"
"85","POLREP","Polemonium_reptans","Polemonium_reptans","Polemonium_reptans","Polemonium reptans","Polemoniaceae","Other",NA,"polemonium reptans","Polemonium reptans","L."
"86","POTARU","Potentilla_arguta","Drymocallis_arguta","Drymocallis_arguta","Potentilla arguta","Rosaceae","Rosaceae",NA,"potentilla arguta","Potentilla arguta","Pursh"
"87","PYCPIL","Pycnanthemum_pilosum","Pycnanthemum_verticillatum","Pycnanthemum_verticillatum","Pycnanthemum pilosum","Lamiaceae","Lamiaceae",NA,"pycnanthemum pilosum","Pycnanthemum verticillatum var. pilosum","(Nutt.) Cooperr."
"88","PYCTEN","Pycnanthemum_tenuifolium","Pycnanthemum_tenuifolium","Pycnanthemum_tenuifolium","Pycnanthemum tenuifolium","Lamiaceae","Lamiaceae",NA,"pycnanthemum tenuifolium","Pycnanthemum tenuifolium","Schrad."
"89","PYCVIR","Pycnanthemum_virginianum","Pycnanthemum_virginianum","Pycnanthemum_virginianum","Pycnanthemum virginianum","Lamiaceae","Lamiaceae",NA,"pycnanthemum virginianum","Pycnanthemum virginianum","(L.) B.L.Rob. & Fernald"
"90","RATPIN","Ratibida_pinnata","Ratibida_pinnata","Ratibida_pinnata","Ratibida pinnata","Asteraceae","Asteraceae",NA,"ratibida pinnata","Ratibida pinnata","Barnhart"
"91","ROSBLA","Rosa_blanda","Rosa_blanda","Rosa_blanda","Rosa blanda","Rosaceae","Rosaceae",NA,"rosa blanda","Rosa blanda","Aiton"
"92","ROSCAR","Rosa_carolina","Rosa_carolina","Rosa_carolina","Rosa carolina","Rosaceae","Rosaceae",NA,"rosa carolina","Rosa carolina","L."
"93","ROSSET","Rosa_setigera","Rosa_setigera","Rosa_setigera","Rosa setigera","Rosaceae","Rosaceae",NA,"rosa setigera","Rosa setigera","Michx."
"94","RUDFUL","Rudbeckia_fulgida","Rudbeckia_fulgida_var._fulgida","Rudbeckia_fulgida_var._fulgida","Rudbeckia fulgida","Asteraceae","Asteraceae",NA,"rudbeckia fulgida","Rudbeckia fulgida","Aiton"
"95","RUDHIR","Rudbeckia_hirta","Rudbeckia_hirta_var._pulcherrima","Rudbeckia_hirta_var._pulcherrima","Rudbeckia hirta","Asteraceae","Asteraceae",NA,"rudbeckia hirta","Rudbeckia hirta","L."
"96","RUDSUB","Rudbeckia_subtomentosa","Rudbeckia_subtomentosa","Rudbeckia_subtomentosa","Rudbeckia subtomentosa","Asteraceae","Asteraceae",NA,"rudbeckia subtomentosa","Rudbeckia subtomentosa","Pursh"
"97","RUDTRI","Rudbeckia_triloba","Rudbeckia_triloba","Rudbeckia_triloba","Rudbeckia triloba","Asteraceae","Asteraceae",NA,"rudbeckia triloba","Rudbeckia triloba","L."
"98","RUEHUM","Ruellia_humilis","Ruellia_humilis","Ruellia_humilis","Ruellia humilis","Acanthaceae","Other",NA,"ruellia humilis","Ruellia humilis","Nutt."
"99","SCHSCO","Schizachyrium_scoparium","Schizachyrium_scoparium","Schizachyrium_scoparium","Schizachyrium scoparium","Poaceae","Poaceae",NA,"schizachyrium scoparium","Schizachyrium scoparium","(Michx.) Nash"
"100","SENHEB","Senna_hebecarpa","Senna_hebecarpa","Senna_hebecarpa","Senna hebecarpa","Fabaceae","Fabaceae",NA,"senna hebecarpa","Senna hebecarpa","(Fernald) H.S.Irwin & Barneby"
"101","SENMAR","Senna_marilandica","Senna_marilandica","Senna_marilandica","Senna marilandica","Fabaceae","Fabaceae",NA,"senna marilandica","Senna marylandica","(L.) Link"
"102","SILINT","Silphium_integrifolium","Silphium_integrifolium","Silphium_integrifolium","Silphium integrifolium","Asteraceae","Asteraceae",NA,"silphium integrifolium","Silphium integrifolium","Michx."
"103","SILLAC","Silphium_laciniatum","Silphium_laciniatum","Silphium_laciniatum","Silphium laciniatum","Asteraceae","Asteraceae",NA,"silphium laciniatum","Silphium laciniatum","L."
"104","SILTER","Silphium_terebinthinaceum","Silphium_terebinthinaceum","Silphium_terebinthinaceum","Silphium terebinthinaceum","Asteraceae","Asteraceae",NA,"silphium terebinthinaceum","Silphium terebinthinaceum","Jacq."
"105","SISANG","Sisyrinchium_angustifolium","Sisyrinchium_angustifolium","Sisyrinchium_angustifolium","Sisyrinchium angustifolium","Iridaceae","Other",NA,"sisyrinchium angustifolium","Sisyrinchium angustifolium","Mill."
"106","SOLJUN","Solidago_juncea","Solidago_juncea","Solidago_juncea","Solidago juncea","Asteraceae","Asteraceae",NA,"solidago juncea","Solidago juncea","Aiton"
"107","SOLNEM","Solidago_nemoralis","Solidago_nemoralis","Solidago_nemoralis","Solidago nemoralis","Asteraceae","Asteraceae",NA,"solidago nemoralis","Solidago nemoralis","Aiton"
"108","SOLSPE","Solidago_speciosa","Solidago_speciosa","Solidago_speciosa","Solidago speciosa","Asteraceae","Asteraceae",NA,"solidago speciosa","Solidago speciosa","A.Gray"
"109","SORNUT","Sorghastrum_nutans","Sorghastrum_nutans","Sorghastrum_nutans","Sorghastrum nutans","Poaceae","Poaceae",NA,"sorghastrum nutans","Sorghastrum nutans","Nash in Small"
"110","SPIALB","Spiraea_alba","Spiraea_alba_var._latifolia","Spiraea_alba_var._latifolia","Spiraea alba","Rosaceae","Rosaceae",NA,"spiraea alba","Spiraea alba","Du Roi"
"111","SPOHET","Sporobolus_heterolepis","Sporobolus_heterolepis","Sporobolus_heterolepis","Sporobolus heterolepis","Poaceae","Poaceae",NA,"sporobolus heterolepis","Sporobolus heterolepis","(A.Gray) A.Gray"
"112","SYMERI","Symphyotrichum_ericoides","Symphyotrichum_ericoides","Symphyotrichum_ericoides","Symphyotrichum ericoides","Asteraceae","Asteraceae",NA,"symphyotrichum ericoides","Symphyotrichum ericoides","(L.) G.L.Nesom"
"113","SYMLAE","Symphyotrichum_laeve","Symphyotrichum_laeve","Symphyotrichum_laeve","Symphyotrichum laeve","Asteraceae","Asteraceae",NA,"symphyotrichum laeve","Symphyotrichum laeve","(L.) Á.Löve & D.Löve"
"114","SYMNOV","Symphyotrichum_novae.angliae","Symphyotrichum_novae-angliae","Symphyotrichum_novae-angliae","Symphyotrichum novae-angliae","Asteraceae","Asteraceae",NA,"symphyotrichum novae-angliae","Symphyotrichum novae-angliae","(L.) G.L.Nesom"
"115","SYMOOL","Symphyotrichum_oolentangiense","** MISSING **","Symphyotrichum_oolentangiense","Symphyotrichum oolentangiense","Asteraceae","Asteraceae",NA,"symphyotrichum oolentangiense","Symphyotrichum oolentangiense","(Riddell) G.L.Nesom"
"116","SYMSER","Symphyotrichum_sericeum","Symphyotrichum_sericeum","Symphyotrichum_sericeum","Symphyotrichum sericeum","Asteraceae","Asteraceae",NA,"symphyotrichum sericeum","Symphyotrichum sericeum","(Vent.) G.L.Nesom"
"117","TEUCAN","Teucrium_canadense","Teucrium_canadense","Teucrium_canadense","Teucrium canadense","Lamiaceae","Lamiaceae",NA,"teucrium canadense","Teucrium canadense","L."
"118","THADAS","Thalictrum_dasycarpum","Thalictrum_dasycarpum","Thalictrum_dasycarpum","Thalictrum dasycarpum","Ranunculaceae","Ranunculaceae",NA,"thalictrum dasycarpum","Thalictrum dasycarpum","Fisch., C.A.Mey. & Avé-Lall."
"119","TRAOHI","Tradescantia_ohiensis","Tradescantia_ohiensis","Tradescantia_ohiensis","Tradescantia ohiensis","Commelinaceae","Other",NA,"tradescantia ohiensis","Tradescantia ohiensis","Raf."
"120","VERFAS","Vernonia_fasciculata","Vernonia_fasciculata","Vernonia_fasciculata","Vernonia fasciculata","Asteraceae","Asteraceae",NA,"vernonia fasciculata","Vernonia fasciculata","Michx."
"121","VERGIG","Vernonia_altissima","Vernonia_gigantea","Vernonia_gigantea","Vernonia gigantea","Asteraceae","Asteraceae",NA,"vernonia gigantea","Vernonia gigantea","(Walt.) trelease ex Branner & Coville"
"122","VERMIS","Vernonia_missurica","Vernonia_missurica","Vernonia_missurica","Vernonia missurica","Asteraceae","Asteraceae",NA,"vernonia missurica","Vernonia missurica","Raf."
"123","VERSTR","Verbena_stricta","Verbena_stricta","Verbena_stricta","Verbena stricta","Verbenaceae","Other",NA,"verbena stricta","Verbena stricta","Vent."
"124","VERVIR","Veronicastrum_virginicum","Veronicastrum_virginicum","Veronicastrum_virginicum","Veronicastrum virginicum","Scrophulariaceae","Other",NA,"veronicastrum virginicum","Veronicastrum virginicum","(L.) Farw."
"125","VIOPDF","Viola_pedatifida","Viola_pedatifida","Viola_pedatifida","Viola pedatifida","Violaceae","Other",NA,"viola pedatifida","Viola pedatifida","G.Don"
"126","ZIZAPT","Zizia_aptera","Zizia_aptera","Zizia_aptera","Zizia aptera","Apiaceae","Apiaceae",NA,"zizia aptera","Zizia aptera","(A.Gray) Fernald"
"127","ZIZAUR","Zizia_aurea","Zizia_aurea","Zizia_aurea","Zizia aurea","Apiaceae","Apiaceae",NA,"zizia aurea","Zizia aurea","(L.) W.D.J.Koch"
