"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"15","Antennaria neglecta","Antennaria neglecta",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,11,1,"wfo-0000029508","urn:lsid:ipni.org:names:14759-2","GCC-5696D1D3-7B37-4BF0-941F-DA316DA528D2","Antennaria neglecta","species","wfo-4000002356","Greene","Asteraceae","Asteroideae","Gnaphalieae","","Antennaria","","neglecta","","species","Valid","Pittonia 3(16): 173 (1897)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Pittonia 3 173 1897 to Pittonia 3(16): 173 (1897), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-128516 >The","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1110388","The Asteraceaae TEN","A","gcc-128516","",FALSE,"","","",""
"16","Arnoglossum plantagineum","Arnoglossum plantagineum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,12,1,"wfo-0000073256","urn:lsid:ipni.org:names:20123-2","GCC-F9FB5B07-70FA-4642-8F33-377C155B1B27","Arnoglossum plantagineum","species","wfo-4000003096","Raf.","Asteraceae","Asteroideae","Senecioneae","","Arnoglossum","","plantagineum","","species","Valid","Fl. Ludov. : 65 (1817)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Fl. Ludov. 65 1817 to Fl. Ludov. : 65 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-29997 >The Plant","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1090041","The Asteraceaae TEN","A","gcc-29997","",FALSE,"","","",""
"17","Asclepias hirtella","Asclepias hirtella",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,13,1,"wfo-0000551395","urn:lsid:ipni.org:names:21200-2","786898","Asclepias hirtella","species","wfo-4000003243","(Pennell) Woodson","Apocynaceae","","","","Asclepias","","hirtella","","species","Valid","Ann. Missouri Bot. Gard. 28: 207 (1941)","Accepted","","wfo-0000515336",NA,"Source in seed data: cmp Update namepublishedIn from Ann. Missouri Bot. Gard. 28: 207 1941 to Ann. Missouri Bot. Gard. 28: 207 (1941), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.or","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:21200-2","The Apocynaceae TEN","A","kew-2654849","",FALSE,"","","",""
"18","Asclepias sullivantii","Asclepias sullivantii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,14,1,"wfo-0000551798","urn:lsid:ipni.org:names:94678-1","787262","Asclepias sullivantii","species","wfo-4000003243","Engelm. ex A.Gray","Apocynaceae","","","","Asclepias","","sullivantii","","species","Valid","Manual : 366 (1848)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Man. Bot. (A. Eaton) 366. 1817 [Jul 1817] to Manual : 366 (1848), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/","","The Apocynaceae TEN","A","kew-2655214","",FALSE,"","","","Not a synonym"
"20","Asclepias syriaca","Asclepias syriaca",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,15,1,"wfo-0000551803","urn:lsid:ipni.org:names:94683-1","787267","Asclepias syriaca","species","wfo-4000003243","L.","Apocynaceae","","","","Asclepias","","syriaca","","species","Valid","Sp. Pl. 1: 214. 1753 [1 May 1753]","Accepted","","",NA,"Source in seed data: cmp Updated namepublishedIn from Sp. Pl. ed. 2 214 1762 to Sp. Pl. 1: 214. 1753 [1 May 1753] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew","","The Apocynaceae TEN","A","kew-2655219","",FALSE,"","","",""
"21","Asclepias tuberosa","Asclepias tuberosa",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,16,1,"wfo-0000551830","urn:lsid:ipni.org:names:94704-1","787292","Asclepias tuberosa","species","wfo-4000003243","L.","Apocynaceae","","","","Asclepias","","tuberosa","","species","Valid","Sp. Pl. : 217 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 217 1753 to Sp. Pl. : 217 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2655244 >The Plant L","","The Apocynaceae TEN","A","kew-2655244","",FALSE,"","","",""
"22","Asclepias verticillata","Asclepias verticillata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,17,1,"wfo-0000551862","urn:lsid:ipni.org:names:94722-1","787322","Asclepias verticillata","species","wfo-4000003243","L.","Apocynaceae","","","","Asclepias","","verticillata","","species","Valid","Sp. Pl. : 217 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 217 1753 to Sp. Pl. : 217 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2655274 >The Plant L","","The Apocynaceae TEN","A","kew-2655274","",FALSE,"","","",""
"23","Asclepias viridis","Asclepias viridis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,18,1,"wfo-0000551892","urn:lsid:ipni.org:names:94737-1","787348","Asclepias viridis","species","wfo-4000003243","Walter","Apocynaceae","","","","Asclepias","","viridis","","species","Valid","Fl. Carol. : 107 (1788)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Carol. [Walter] 107. 1788 [Apr-Jun 1788] to Fl. Carol. : 107 (1788), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/","","The Apocynaceae TEN","A","kew-2655300","",FALSE,"","","",""
"24","Astragalus canadensis","Astragalus canadensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,19,1,"wfo-0000168919","urn:lsid:ipni.org:names:24595-2","15256","Astragalus canadensis","species","wfo-4000003460","L.","Fabaceae","Papilionoideae","","","Astragalus","","canadensis","","species","Valid","Sp. Pl. : 757 (1753)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from to Sp. Pl. : 757 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-15256 >The Plant List v.1.1.</a> Or","https://www.legumedata.org/taxonomy/taxon/2658189","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-15256","",FALSE,"","","",""
"26","Baptisia alba","Baptisia alba",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,20,2,"wfo-0001349863","urn:lsid:ipni.org:names:1168801-2","","Baptisia alba","species","wfo-4000004037","(L.) R.Br.","Fabaceae","Papilionoideae","","","Baptisia","","alba","","species","Valid","Hortus Kew. 3: 6 (1811)","Accepted","","wfo-0000181628",NA,"Source in seed data: ipni Updated majorGroup from to A, information provided by Alan E. on email Mar 08 2021","https://www.legumedata.org/taxonomy/taxon/2669488","The Fabaceae TEN - Legume Taxonomy Working Group","A","","",FALSE,"","","","Accepted"
"28","Baptisia bracteata","Baptisia bracteata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,21,1,"wfo-0000182250","urn:lsid:ipni.org:names:480955-1","28341","Baptisia bracteata","species","wfo-4000004037","Muhl. ex Elliott","Fabaceae","Papilionoideae","","","Baptisia","","bracteata","","species","Valid","Sketch Bot. S. Carolina 1: 469 (1817)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from to Sketch Bot. S. Carolina 1: 469 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-28341 >The Plant L","https://www.legumedata.org/taxonomy/taxon/2669499","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-28341","",FALSE,"","","",""
"29","Blephilia ciliata","Blephilia ciliata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,22,1,"wfo-0000344368","urn:lsid:ipni.org:names:60464893-2","22444","Blephilia ciliata","species","wfo-4000004795","(L.) Raf. ex Benth.","Lamiaceae","","","","Blephilia","","ciliata","","species","Valid","Labiat. Gen. Spec. : 319 (1833)","Accepted","","wfo-0000245300",NA,"Source in seed data: wcs Update namepublishedIn from Edwards's Bot. Reg. 15: sub t. 1289, no. 32. 1829 [1 Dec 1829] to Labiat. Gen. Spec. : 319 (1833), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://ww","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60464893-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-22444","",FALSE,"","","",""
