"","CODE","treeName","smithName","splicedTreeName","Scientific.Name","Family","Family.simplified","less.than.four","phylo.spp","accepted","author"
"43","DESILL","Desmodium_illinoense","Desmodium_illinoense","Desmodium_illinoense","Desmodium illinoense","Fabaceae","Fabaceae",NA,"desmodium illinoense","Desmodium illinoense","A.Gray"
"44","DODMEA","Dodecatheon_meadia","Dodecatheon_media","Dodecatheon_media","Dodecatheon meadia","Primulaceae","Other",NA,"dodecatheon meadia","Primula meadia","(L.) A.R.Mast & Reveal"
"45","DSMILL","Desmanthus_illinoensis","Desmanthus_illinoensis","Desmanthus_illinoensis","Desmanthus illinoensis","Fabaceae","Fabaceae",NA,"desmanthus illinoensis","Desmanthus illinoensis","(Michx.) MacMill."
"46","ECHPAL","Echinacea_pallida","Echinacea_pallida","Echinacea_pallida","Echinacea pallida","Asteraceae","Asteraceae",NA,"echinacea pallida","Echinacea pallida","(Nutt.) Nutt."
"47","ECHPUR","Echinacea_purpurea","Echinacea_purpurea","Echinacea_purpurea","Echinacea purpurea","Asteraceae","Asteraceae",NA,"echinacea purpurea","Echinacea purpurea","(L.) Moench"
"48","ELYCAN","Elymus_canadensis","Elymus_canadensis","Elymus_canadensis","Elymus canadensis","Poaceae","Poaceae",NA,"elymus canadensis","Elymus canadensis","L."
"49","ERASPE","Eragrostis_spectabilis","Eragrostis_spectabilis","Eragrostis_spectabilis","Eragrostis spectabilis","Poaceae","Poaceae",NA,"eragrostis spectabilis","Eragrostis spectabilis","(Pursh) Steud."
"50","ERYYUC","Eryngium_yuccifolium","Eryngium_yuccifolium","Eryngium_yuccifolium","Eryngium yuccifolium","Apiaceae","Apiaceae",NA,"eryngium yuccifolium","Eryngium yuccifolium","Michx."
"51","EUPALT","Eupatorium_altissimum","Eupatorium_altissimum","Eupatorium_altissimum","Eupatorium altissimum","Asteraceae","Asteraceae",NA,"eupatorium altissimum","Eupatorium altissimum","L."
"52","EUPCOR","Euphorbia_corollata","Euphorbia_corollata","Euphorbia_corollata","Euphorbia corollata","Euphorbiaceae","Other",NA,"euphorbia corollata","Euphorbia corollata","L."
"53","EUTGRA","Euthamia_graminifolia","Euthamia_graminifolia","Euthamia_graminifolia","Euthamia graminifolia","Asteraceae","Asteraceae",NA,"euthamia graminifolia","Euthamia graminifolia","(L.) Nutt."
"54","FRAVIR","Fragaria_virginiana","Fragaria_virginiana","Fragaria_virginiana","Fragaria virginiana","Rosaceae","Rosaceae",NA,"fragaria virginiana","Fragaria virginiana","Mill."
"55","GENAND","Gentiana_andrewsii","Gentiana_andrewsii","Gentiana_andrewsii","Gentiana andrewsii","Gentianaceae","Other",NA,"gentiana andrewsii","Gentiana andrewsii","Griseb."
"56","HELAUT","Helenium_autumnale","Helenium_autumnale","Helenium_autumnale","Helenium autumnale","Asteraceae","Asteraceae",NA,"helenium autumnale","Helenium autumnale","L."
"57","HELHEL","Heliopsis_helianthoides","Heliopsis_helianthoides_var._occidentalis","Heliopsis_helianthoides_var._occidentalis","Heliopsis helianthoides","Asteraceae","Asteraceae",NA,"heliopsis helianthoides","Heliopsis helianthoides","Sweet"
"58","HELMOL","Helianthus_mollis","Helianthus_mollis","Helianthus_mollis","Helianthus mollis","Asteraceae","Asteraceae",NA,"helianthus mollis","Helianthus mollis","Lam."
"59","HELOCC","Helianthus_occidentalis","Helianthus_occidentalis","Helianthus_occidentalis","Helianthus occidentalis","Asteraceae","Asteraceae",NA,"helianthus occidentalis","Helianthus occidentalis","Riddell"
"60","HELPAU","Helianthus_pauciflorus","Helianthus_pauciflorus_subsp._pauciflorus","Helianthus_pauciflorus_subsp._pauciflorus","Helianthus pauciflorus","Asteraceae","Asteraceae",NA,"helianthus pauciflorus","Helianthus pauciflorus","Nutt."
"61","HELSTR","Helianthus_strumosus","Helianthus_strumosus","Helianthus_strumosus","Helianthus strumosus","Asteraceae","Asteraceae",NA,"helianthus strumosus","Helianthus strumosus","L."
"62","HEURIC","Heuchera_richardsonii","Heuchera_richardsonii","Heuchera_richardsonii","Heuchera richardsonii","Saxifragaceae","Other",NA,"heuchera richardsonii","Heuchera richardsonii","R.Br."
"63","HIEODO","Hierochloe_odorata","Hierochloe_borealis","Hierochloe_borealis","Hierochloe odorata","Poaceae","Poaceae",NA,"hierochloe odorata","Anthoxanthum nitens","(Weber) Y.Schouten & Veldkamp"
"64","HYPPUN","Hypericum_punctatum","Hypericum_punctatum","Hypericum_punctatum","Hypericum punctatum","Hypericaceae","Hypericaceae",NA,"hypericum punctatum","Hypericum punctatum","Lam."
"65","HYPPYR","Hypericum_pyramidatum","Hypericum_ascyron_subsp._pyramidatum","Hypericum_ascyron_subsp._pyramidatum","Hypericum pyramidatum","Hypericaceae","Hypericaceae",NA,"hypericum pyramidatum","Hypericum ascyron subsp. pyramidatum","(Aiton) N.Robson"
"66","JUNDUD","Juncus_dudleyi","Juncus_dudleyi","Juncus_dudleyi","Juncus dudleyi","Juncaceae","Juncaceae",NA,"juncus dudleyi","Juncus dudleyi","Wiegand"
"67","JUNINT","Juncus_interior","Juncus_interior","Juncus_interior","Juncus interior","Juncaceae","Juncaceae",NA,"juncus interior","Juncus interior","Wiegand"
"68","JUNTEN","Juncus_tenuis","Juncus_tenuis","Juncus_tenuis","Juncus tenuis","Juncaceae","Juncaceae",NA,"juncus tenuis","Juncus tenuis","Willd."
"69","KOEMAC","Koeleria_pyramidata","Koeleria_pyramidata","Koeleria_pyramidata","Koeleria macrantha","Poaceae","Poaceae",NA,"koeleria macrantha","Koeleria pyramidata","(Lam.) P.Beauv."
"70","LESCAP","Lespedeza_capitata","Lespedeza_capitata","Lespedeza_capitata","Lespedeza capitata","Fabaceae","Fabaceae",NA,"lespedeza capitata","Lespedeza capitata","Michx."
"71","LIAASP","Liatris_aspera","Liatris_aspera","Liatris_aspera","Liatris aspera","Asteraceae","Asteraceae",NA,"liatris aspera","Liatris aspera","Michx."
"72","LIAPYC","Liatris_pycnostachya","Liatris_pycnostachya","Liatris_pycnostachya","Liatris pycnostachya","Asteraceae","Asteraceae",NA,"liatris pycnostachya","Liatris pycnostachya","Michx."
"73","LIASCN","Liatris_scariosa","Liatris_scariosa","Liatris_scariosa","Liatris scariosa","Asteraceae","Asteraceae",NA,"liatris scariosa","Liatris scariosa","(L.) Willd."
"74","LIASPI","Liatris_spicata","Liatris_spicata","Liatris_spicata","Liatris spicata","Asteraceae","Asteraceae",NA,"liatris spicata","Liatris spicata","(L.) Willd."
"75","LILMIC","Lilium_michiganense","Lilium_michiganense","Lilium_michiganense","Lilium michiganense","Liliaceae","Other",NA,"lilium michiganense","Lilium michiganense","Farw."
"76","LOBSPI","Lobelia_spicata","Lobelia_spicata","Lobelia_spicata","Lobelia spicata","Campanulaceae","Other",NA,"lobelia spicata","Lobelia spicata","Lam."
"77","MAIRAC","Maianthemum_racemosum","Maianthemum_racemosum","Maianthemum_racemosum","Maianthemum racemosum","Asparagaceae","Other",NA,"maianthemum racemosum","Maianthemum racemosum","(L.) Link"
"78","MONBRA","Monarda_bradburiana","Monarda_bradburiana","Monarda_bradburiana","Monarda bradburiana","Lamiaceae","Lamiaceae",NA,"monarda bradburiana","Monarda bradburyana","L.C.Beck"
"79","MONFIS","Monarda_fistulosa","Monarda_fistulosa","Monarda_fistulosa","Monarda fistulosa","Lamiaceae","Lamiaceae",NA,"monarda fistulosa","Monarda fistulosa","L."
"80","OENPIL","Oenothera_pilosella","Oenothera_pilosella","Oenothera_pilosella","Oenothera pilosella","Onagraceae","Other",NA,"oenothera pilosella","Oenothera pilosella","Raf."
"81","OLIRIG","Solidago_rigida","Solidago_rigida","Solidago_rigida","Oligoneuron rigidum","Asteraceae","Asteraceae",NA,"oligoneuron rigidum","Solidago rigida","L."
"82","PANVIR","Panicum_virgatum","Panicum_virgatum","Panicum_virgatum","Panicum virgatum","Poaceae","Poaceae",NA,"panicum virgatum","Panicum virgatum","L."
"83","PARINT","Parthenium_integrifolium","Parthenium_integrifolium","Parthenium_integrifolium","Parthenium integrifolium","Asteraceae","Asteraceae",NA,"parthenium integrifolium","Parthenium integrifolium","L."
"84","PENDIG","Penstemon_digitalis","Penstemon_digitalis","Penstemon_digitalis","Penstemon digitalis","Plantaginaceae","Other",NA,"penstemon digitalis","Penstemon digitalis","Nutt. ex Sims"
"85","PENHIR","Penstemon_hirsutus","Penstemon_hirsutus","Penstemon_hirsutus","Penstemon hirsutus","Plantaginaceae","Other",NA,"penstemon hirsutus","Penstemon hirsutus","(L.) Willd."
